Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,6,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,7,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,8,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,9,0.0,0.0,0.0,0.98,-0.01,0.5
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,5,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,6,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,7,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,8,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,9,0.73,0.67,0.7,0.81,0.55,0.77
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,5,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,6,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,7,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.72,0.39,0.5,0.55,0.18,0.58
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.63,0.9,0.74,0.61,0.04,0.51
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.77,0.14,0.24,0.46,0.12,0.54
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.77,0.14,0.24,0.46,0.12,0.54
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,1,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,2,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,3,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,4,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,5,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,6,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,7,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,8,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,9,0.25,0.07,0.12,0.73,0.01,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,1,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,2,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,3,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,4,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,5,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,6,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,7,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,8,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,9,0.2,0.01,0.01,0.66,-0.03,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,6,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,7,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,8,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,9,0.0,0.0,0.0,0.99,0.0,0.5
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,5,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,6,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,7,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,8,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,9,0.75,0.67,0.71,0.81,0.57,0.78
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,5,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,6,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,7,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.74,0.5,0.6,0.6,0.24,0.62
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.64,0.98,0.77,0.64,0.13,0.53
