Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,6,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,7,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,8,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,9,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,5,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,6,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,7,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,8,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,9,0.86,0.49,0.62,0.8,0.54,0.72
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,5,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,6,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,7,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.76,0.48,0.59,0.6,0.26,0.63
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.52,0.89,0.66,0.49,-0.19,0.45
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.66,0.06,0.11,0.53,0.08,0.52
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.66,0.06,0.11,0.53,0.08,0.52
