Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,ACC,F1,MCC
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.7889908256880734,0.7752422901580909,0.7894000719553875,0.7889908256880734,0.50746085945304
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.8256880733944955,0.8166556274280453,0.8284004047240479,0.8256880733944955,0.5989100619523102
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.7889908256880734,0.7648418672001719,0.8098486630596722,0.7889908256880734,0.5160534691074653
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.8532110091743119,0.844651353381747,0.8627522935779816,0.8532110091743119,0.6688515249009771
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.8165137614678899,0.8081362444894555,0.8163065728516611,0.8165137614678899,0.5760521421606138
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,0,0.6447368421052632,0.5054736842105263,0.41568559556786705,0.6447368421052632,0.0
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,1,0.6414473684210527,0.5039025419259573,0.41492965085982286,0.6414473684210527,-0.04264445100899954
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,2,0.6447368421052632,0.5113737245633251,0.5939351690484489,0.6447368421052632,0.024610718300401596
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,3,0.6480263157894737,0.5187325947148039,0.6545287637698899,0.6480263157894737,0.06495828516984235
Random Forest,camel,camel-1.0.csv,camel-1.2.csv,4,0.6463815789473685,0.5121901392714553,0.6535232709873858,0.6463815789473685,0.04581842031817751
Random Forest,ivy,ivy-1.1.csv,ivy-1.4.csv,0,0.5394190871369294,0.6458306722097048,0.9174025239189328,0.5394190871369294,0.16556159124587977
Random Forest,ivy,ivy-1.1.csv,ivy-1.4.csv,1,0.5601659751037344,0.6639363402848881,0.9186435827729289,0.5601659751037344,0.17674846295537658
Random Forest,ivy,ivy-1.1.csv,ivy-1.4.csv,2,0.4605809128630705,0.5691348161129869,0.9309007428954386,0.4605809128630705,0.18487761423474647
Random Forest,ivy,ivy-1.1.csv,ivy-1.4.csv,3,0.48132780082987553,0.5895751032432439,0.9316213126642938,0.48132780082987553,0.19470109482022835
Random Forest,ivy,ivy-1.1.csv,ivy-1.4.csv,4,0.5228215767634855,0.6275692416063471,0.9417186658642425,0.5228215767634855,0.24435961208220053
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.5280199252801993,0.38745682658989417,0.6086287214770918,0.5280199252801993,0.06974580882809626
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.5330012453300125,0.40320762880314925,0.6101274489744958,0.5330012453300125,0.08597157412334304
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.5442092154420921,0.4112420417073303,0.736621726496652,0.5442092154420921,0.163094213683019
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.5305105853051059,0.3887559684304406,0.6467419152699669,0.5305105853051059,0.08965292591813981
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.526774595267746,0.3809258074900237,0.6242870959789115,0.526774595267746,0.06941366647618694
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.7745098039215687,0.7794630047140807,0.7864911080711354,0.7745098039215687,0.421210911667599
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.7647058823529411,0.769456012493493,0.7758850146393399,0.7647058823529411,0.39295494196356207
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.7843137254901961,0.7921213734362523,0.8067729960529985,0.7843137254901961,0.47152092932969886
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.7810457516339869,0.783379491416811,0.7861573833073052,0.7810457516339869,0.42173126251970144
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.7745098039215687,0.7809759657371186,0.7912581699346405,0.7745098039215687,0.4325400664573273
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.5951417004048583,0.5913383410012252,0.6434475983896519,0.5951417004048583,0.2439630139239724
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.5870445344129555,0.5813377268469327,0.6404353673469859,0.5870445344129555,0.2348346842958556
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.5910931174089069,0.5905166729879113,0.6269592906825484,0.5910931174089069,0.21908267600742448
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.5870445344129555,0.5822796636561818,0.637360427035251,0.5870445344129555,0.2308529912449513
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.6194331983805668,0.6141739835648206,0.6774258512093666,0.6194331983805668,0.30341779635151783
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.6910112359550562,0.6866532042320371,0.682634343643189,0.6910112359550562,0.08907338141817688
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,1,0.6910112359550562,0.6866532042320371,0.682634343643189,0.6910112359550562,0.08907338141817688
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,2,0.6910112359550562,0.6866532042320371,0.682634343643189,0.6910112359550562,0.08907338141817688
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,3,0.6910112359550562,0.6866532042320371,0.682634343643189,0.6910112359550562,0.08907338141817688
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,4,0.6910112359550562,0.6866532042320371,0.682634343643189,0.6910112359550562,0.08907338141817688
Naive Bayes,poi,poi-1.5.csv,poi-2.0.csv,0,0.7484076433121019,0.7803175469594773,0.8265175641767998,0.7484076433121019,0.15310555622657374
Naive Bayes,poi,poi-1.5.csv,poi-2.0.csv,1,0.7484076433121019,0.7803175469594773,0.8265175641767998,0.7484076433121019,0.15310555622657374
Naive Bayes,poi,poi-1.5.csv,poi-2.0.csv,2,0.7484076433121019,0.7803175469594773,0.8265175641767998,0.7484076433121019,0.15310555622657374
